name,hostelid,city,date,reviewid,reviewtext,value,security,location,facilities,staff,atmosphere,cleanliness
Planet Traveler Hostel,48151,Toronto,2018-09-13 00:00:00,review11816582,Good location in the middle of the city. Catch a taxi right out front no waiting.  Three computers and tv to use in the lounge area. Free wifi and breakfast from 7 am to 1 pm.  Each dorm has a bathroom with shower plus an extra bathroom next door. Daily activities and a rooftop social area. Laundry facilities and storage area. Lots of space for eating and fridges to use. Staff friendly and informative. Phones available. Key card gives you 24 hrs access and staff is there 7 am to 12 am(midnight).,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-09-12 00:00:00,review11811012,"Secure, good staff, good atmosphere, lovely view of CN tower from a roof terrace, nightly events, cheap laundry, late checkout and breakfast runs until 1pm, also very clean. Only negatives are lack of large lockers, and given the high price no oven, no bins in the room except the bathroom, no mats on the floor in the ensuite and all communal areas including the kitchen shut at midnight, minor things but worth mentioning given it's expensive",6,8,6,8,8,10,10
Planet Traveler Hostel,48151,Toronto,2018-09-12 00:00:00,review11809075,"Clean, very friendly staff and free activities every evening. 
Additionally, the hostel is in a good location.",8,8,8,6,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-09-09 00:00:00,review11801051,"This is the first and only time I stay at a hostel in Canada so I can't comment if Planet Traveler lives to the expectation of ""Best Hostel in Canada"".  I have stayed at hostels in Europe and Asia and I could easily recall some better hostel experience.   Being spontaneous is one of the beauty of staying at a hostel.  I could get my needs met without the help from a staff at most hostels I have stayed at but not this one.",6,10,8,6,6,8,10
Planet Traveler Hostel,48151,Toronto,2018-09-04 00:00:00,review11800849,"Planet Traveller provided everything a tourist could want; a great location, a safe and comfortable home, and an opportunity to meet like-minded adventurers. The staff were brilliant from the get-go and we were given a very thorough tour of the building as well as plenty of advice on the staffs' favourite pubs and attractions. The hostel hosts little activities each night which is a great way to meet other guests! The only downside is the noise of the doors and building. Ear plugs are necessary.",8,10,10,8,10,10,8
Planet Traveler Hostel,48151,Toronto,2018-09-03 00:00:00,review11804655,"
Perhaps one of the best hostels in the world.",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-09-03 00:00:00,review11789266,Very nice hostel with ample security and amenities. The only thing I didn't care for was one person in the staff was standoffish and rude. Other than that this place is awesome.,10,10,8,10,8,6,10
Planet Traveler Hostel,48151,Toronto,2018-09-03 00:00:00,review11788617,Thanks for everything!,8,8,8,8,8,8,8
Planet Traveler Hostel,48151,Toronto,2018-09-03 00:00:00,review11780601,"The atmosphere was great! Nice place to meet fellow travelers, activities at night are really nice and the staff is super friendly! Nice cooking facilities plus they let your bring your own alcohol which is also really nice, bathrooms are always clean and so are the rooms, plus they have AC! The only little downside is the beds are a bit squeaky but other than that an amazing place!! Would go back anytime ",10,10,10,8,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-09-02 00:00:00,review11806575,The best place in Toroto. ,8,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-09-01 00:00:00,review11767623,"Loved this place. Very clean, staff helpful and accommodating. Breakfast in the morning is great. Smaller kitchen but okay. Rooftop is great but can get crowded. Right in Kensington market, another hostel is next door that looks very run down. Rooms are a bit tiny but have separate locker area and bathroom which is nice. Only weird thing was the AC in my room, not sure if they had central air but we had a big unit just sitting ontop of stacked chairs? Was just odd. ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-09-01 00:00:00,review11767183,Great hostel with lots of cool places in the area. Staff is very friendly and hosts events. Rooftop has beautiful views of the city. Very clean and well equipped,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-31 00:00:00,review11807532,Absolutely amazing. Lived staying there. Shame that I had to bounce earlier than expected ,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-31 00:00:00,review11778206,Fantastic hostel with a great atmosphere. Also in a perfect location in Toronto. Will definitely recommend this to my fellow travelers. ,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-31 00:00:00,review11762391,Incredible hostel. ,8,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-28 00:00:00,review11766969,I had so much fun! thanks for the wonderful stay Planet Traveler! ,10,8,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-25 00:00:00,review11767565,"Great hostel. Nice location, nice common area including a rooftop with a view of the skyline, great staff. :)",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-24 00:00:00,review11740045,"Great great place
Very clean
Nice people
Awsome rooftop with Downtown view
Nice events every days...
Definitely worth it",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-23 00:00:00,review11726624,Really nice hostel with great staff. The only minus - rooms are quite small and crowded. But with good weather and few luggage no problem,8,10,10,8,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-20 00:00:00,review11714581,"There wasn't a moment of quiet, the bunk beds were too close, uncomfortable & creaky, the naked (lower half) homeless guy in the parking area, the staff who enjoyed making beds constantly, randomly deactivated key card, the expensive rate for a hostel, deactivated entry card etc. Other hostel patrons were bothered & couldn't sleep so periodic complaints at night. Pretty sure there are many fake ratings for this hostel done by bots or something. Awful, total waste of money, very disrespectful! ",2,2,8,4,4,2,8
Planet Traveler Hostel,48151,Toronto,2018-08-19 00:00:00,review11754835,Best hostel in Canada with the best staff. ,8,10,6,8,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-18 00:00:00,review11750758,"Perfect rooftop, staff very polite and nice, rooms clean but beds kind of noisy, great location!",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-18 00:00:00,review11709516,The staff there are fantastic. Shout out to Alex and Augustine. It is safe. There are three locks to go through to get to your dorm. It is clean. I've seen the employees cleaning. Location was perfect right by China Town where there is many vendors and men dressed as dragons. The hostel has activities going on within. They have a beautiful rooftop overlooking Toronto. Everything was wonderful. Great job Planet Taveler!,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-17 00:00:00,review11708758,Hostel is nice but the rooms are so small ,6,6,4,8,8,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-16 00:00:00,review11766980,"Lovely stay and a great environment, conveniently located ",8,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-16 00:00:00,review11695182,"Das beste Hostel, in dem ich jemals übernachtet habe - sehr sauber, moderne Bäder, top Lage, eine traumhafte Dachterrasse, sehr gutes Frühstück und super Mitarbeit!! Ich würde hier jederzeit wieder übernachten!! ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-12 00:00:00,review11780277,"a bit too cold in the room sometimes because the air conditioner is running permanently, and if you stop it, it turns itself on after a while",10,10,10,8,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-09 00:00:00,review11686873,Best hostel I've ever stayed at !! Staff extremely welcoming. Felt secure at all times. Amazing roof top with skyline view and very social. Would 100% recommend. ,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-08 00:00:00,review11671200,"Brilliant hostel, good location, good staff, friendly and sociable atmosphere, parking, organised trips and pub crawls etc, would highly recommend.

Only downside they only allow minimum 2 nights stay, would have liked to have stayed again the night before my flight home. ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-07 00:00:00,review11791823,"Good option for a private room, although it is quite noisy even past 23 hrs.",8,8,6,8,6,8,8
Planet Traveler Hostel,48151,Toronto,2018-08-07 00:00:00,review11662390,I would come back,8,8,10,8,10,10,10
