sentence,cleancontent
very cool location friendly staff public transport right outside the door,0
cleanliness should be improved check and clean rooms daily to make it one of the top value for money hostels in london,1
wasnt aware i would be moved to another location 510 min away,0
wifi wasnt the greatest as i could only use it in the lobby and not my room,0
overall it was okay and staff was friendly,0
the atmosphere was weird,0
lots of old people and not good for socialising,0
the staff were either rude or untrained,0
they blocked off one of the main social areas to practice their music for their performance that nightsuper awkward,0
the mats in the bathroom were stinky and dirty,1
the location was away from everything but hyde parkno grocery stores nearby and a longer walk to the underground,0
the beds are sturdy but one of the wooden lockers didnt work,0
stay elsewhere if you can afford it ,0
we stayed in the backpacker area,0
the room was okay,0
but there was only a tiny window with basically no natural light,0
so it wasnt a place to hang out,0
a small but really nice modern kitchen,0
location had good transport links and many walking tours started at the station just round the corner,0
communal bathrooms separate genders were nice,0
not a great introduction to berlin,0
the location is very far from most areas easily recognized as berlin and because of a miscommunication in which we thought we could check in before 3pm we were treated pretty rudely by the first employee we interacted with,0
the main area is very big but not cozy or welcoming like other hostels ive been in,0
because of this no one really talks to each other,0
lastly it was extremely hot during our visit with no fans available,0
so the hostel was great but the staff were unhelpful and not very sympathetic when i dropped my phone down the elevator  yes this is my fault but they first told me they could get it out and then later they told me it costs 400 euros to open up the elevator,0
this obviously ruined my experience at the one 80 hostel,0
my friend who has also lost her phone down an elevator told me that all they wouldve had to do is make the list go up two floors and then open it from th ground floor,0
great location,0
always action and plenty of places to eat and view from the platz,0
hbf is just minutes away so youre just a hop away from your next destination ,0
be aware that it is very young crowd at this hostel ,0
i had a couple of issues with just youngins room hopping and taking over beds that were not assigned to them,0
luckily the front desk people were understanding and assisted me in moving into a separate room with less people ,0
downside no air conhot summer nights,0
a newly opened hostel on the south side of shimokitazawa station,0
took a gamble booking here when there were still no reviews online at the time but it was a great experience,0
stayed in a single dormitory pod,0
the location is perfect and the staff are mostly quite kind and helpful,0
my only complaint is that its a little expensive as hostels go and the lack of a kitchen and laundry facilities does not really reflect the price that you pay per night,0
that being said ill definitely be back,0
had a great stay in the hostel staff where very good and easy to talk too ,0
great location for the clubbing side of berlin ,0
would highly recommend ,0
,
,
plug inn was a wonderful place to stay,0
it was very clean and there was breakfast every morning,1
there was no ac but the fan helped,0
there are 3 train stations close by and the beautiful sacre coeur and montmarte areas were all in walking distance,0
a short train ride to many other sightseeing places,0
the shower and elevator were very small and to get there is a lot of uphill walking,0
great hostel  perfect location and very clean,0
will definitely stay again,0
great hostel,0
great staff and good value for money but air conditioning must be installed in all rooms for future recommendation,0
great staff very friendly and providing very useful advice,0
cleanest hostel wed stayed at on the whole three week trip,1
the hostel bar was cosy however a little bit on the small side,0
fantastic location overall a great hostel that id definitely recommend to anyone wanting to visit berlin,0
will hopefully be back ,0
of all the hostels ive stayed in this one was the best,0
i highly recommend st christophers inn gare du nord in paris ,0
the hostel was clean the atmosphere lively the staff was friendly and helpful and i felt secure and safe staying there,1
the rooms were nice spacious enough and unlike other hostels ive stayed in provided a bed with plug points for chargers a privacy curtain and a spacious locker under the beds,0
bathrooms were clean and relatively good in size too,0
showers and bathroom were dirty shower water fills up the first staff member at the desk said he didnt have shampoo or shower gel but later someone else did have,1
the same original staff member was very unhelpful when i asked for a place to eat nearby his only recommendation he could think of was burger king,0
