hostelid,address,name,city,url
48151,"357 College Street, Toronto, Ontario",Planet Traveler Hostel,Toronto,https://www.hostelworld.com/hosteldetails.php/Planet-Traveler-Hostel/Toronto/48151
3856,"76 Church St., Toronto",HI Toronto,Toronto,https://www.hostelworld.com/hosteldetails.php/HI-Toronto/Toronto/3856
42418,5 Selby St,All Days Hostel,Toronto,https://www.hostelworld.com/hosteldetails.php/All-Days-Hostel/Toronto/42418
92762,280 Augusta Avenue,College Backpackers,Toronto,https://www.hostelworld.com/hosteldetails.php/College-Backpackers/Toronto/92762
71032,7 Clarence Square,The Clarence Park,Toronto,https://www.hostelworld.com/hosteldetails.php/The-Clarence-Park/Toronto/71032
285849,"403 Spadina Ave, Toronto",Two Peas Pod Hostel,Toronto,https://www.hostelworld.com/hosteldetails.php/Two-Peas-Pod-Hostel/Toronto/285849
283311,"83 Elm Grove Avenue, Toronto",The Parkdale Hostellerie,Toronto,https://www.hostelworld.com/hosteldetails.php/The-Parkdale-Hostellerie/Toronto/283311
49758,968 Danforth Ave,The Only Backpacker's Inn,Toronto,https://www.hostelworld.com/hosteldetails.php/The-Only-Backpacker-s-Inn/Toronto/49758
282602,209 Carlton Street,Hostel Toronto,Toronto,https://www.hostelworld.com/hosteldetails.php/Hostel-Toronto/Toronto/282602
274415,1521 Queen Street West,West Queen West Hotel,Toronto,https://www.hostelworld.com/hosteldetails.php/West-Queen-West-Hotel/Toronto/274415
284128,194 Queen St. W.,Rex Hotel,Toronto,https://www.hostelworld.com/hosteldetails.php/Rex-Hotel/Toronto/284128
266617,135 Jarvis St,St. Lawrence Residences & Suites,Toronto,https://www.hostelworld.com/hosteldetails.php/St-Lawrence-Residences-and-Suites/Toronto/266617
9972,77 Ryerson Avenue,Alexandra Hotel,Toronto,https://www.hostelworld.com/hosteldetails.php/Alexandra-Hotel/Toronto/9972
34340,250 gerrard St E,Comfy Guest House and Suite,Toronto,https://www.hostelworld.com/hosteldetails.php/Comfy-Guest-House-and-Suite/Toronto/34340
68735,29 Linden Street,Ada's Guesthouse,Toronto,https://www.hostelworld.com/hosteldetails.php/Ada-s-Guesthouse/Toronto/68735
67775,41 Huntley Street,Keppner Guesthouse,Toronto,https://www.hostelworld.com/hosteldetails.php/Keppner-Guesthouse/Toronto/67775
64845,"62, rue des Morillons",Arty Paris Porte de Versailles by Hiphophostels,Paris,https://www.hostelworld.com/hosteldetails.php/Arty-Paris-Porte-de-Versailles-by-Hiphophostels/Paris/64845
